"","days","dates","Washington","California","US"
"1",49,2020-03-10,267.648599886801,137.463175778397,944.211137760717
"2",50,2020-03-11,322.321995748185,171.979997324854,1225.9145404354
"3",51,2020-03-12,388.163692943033,215.163947088912,1591.66355950335
"4",52,2020-03-13,467.455074449482,269.191329497652,2066.53302745811
"5",53,2020-03-14,562.943548305121,336.784916140105,2683.0788002131
"6",54,2020-03-15,677.937743967326,421.351162948535,3483.56970466998
"7",55,2020-03-16,816.422154724474,527.151882432365,4522.88538313918
"8",56,2020-03-17,983.195198462172,659.519022582901,5872.27870353525
"9",57,2020-03-18,1184.03548052331,825.123376476819,7624.26067672307
"10",58,2020-03-19,1425.90201958966,1032.31076450555,9898.94277865771
"11",59,2020-03-20,1717.17537431502,1291.5226315176,12852.2714909658
"12",60,2020-03-21,2067.94802563115,1615.82225534682,16686.7195993521
"13",61,2020-03-22,2490.37407633315,2021.55308560576,21665.1672183496
"14",62,2020-03-23,2999.09038486559,2529.16239047902,28128.9241905446
