Port Name,State,Port Code,Border,Date,Measure,Value
Blaine,WA,3004,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,17029
Frontier,WA,3020,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,214
Laurier,WA,3016,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,105
Metaline Falls,WA,3025,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,82
Oroville,WA,3019,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,309
Point Roberts,WA,3017,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,391
Port Angeles,WA,3007,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,95
Sumas,WA,3009,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,352
Blaine,WA,3004,US-Canada Border,12/01/2019 12:00:00 AM,Buses,804
Frontier,WA,3020,US-Canada Border,12/01/2019 12:00:00 AM,Buses,9
Laurier,WA,3016,US-Canada Border,12/01/2019 12:00:00 AM,Buses,4
Metaline Falls,WA,3025,US-Canada Border,12/01/2019 12:00:00 AM,Buses,6
Oroville,WA,3019,US-Canada Border,12/01/2019 12:00:00 AM,Buses,8
Point Roberts,WA,3017,US-Canada Border,12/01/2019 12:00:00 AM,Buses,30
Port Angeles,WA,3007,US-Canada Border,12/01/2019 12:00:00 AM,Buses,6
Sumas,WA,3009,US-Canada Border,12/01/2019 12:00:00 AM,Buses,15
Frontier,WA,3020,US-Canada Border,12/01/2019 12:00:00 AM,Pedestrians,1
Lynden,WA,3023,US-Canada Border,12/01/2019 12:00:00 AM,Pedestrians,83
Metaline Falls,WA,3025,US-Canada Border,12/01/2019 12:00:00 AM,Pedestrians,2
Nighthawk,WA,3011,US-Canada Border,12/01/2019 12:00:00 AM,Pedestrians,1
Oroville,WA,3019,US-Canada Border,12/01/2019 12:00:00 AM,Pedestrians,326
Point Roberts,WA,3017,US-Canada Border,12/01/2019 12:00:00 AM,Pedestrians,1843
Sumas,WA,3009,US-Canada Border,12/01/2019 12:00:00 AM,Pedestrians,5576
Anacortes,WA,3010,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,3794
Blaine,WA,3004,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,625436
Boundary,WA,3015,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,3677
Danville,WA,3012,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,3756
Ferry,WA,3013,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,1039
Friday Harbor,WA,3014,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,469
Frontier,WA,3020,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,6283
Laurier,WA,3016,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,5437
Lynden,WA,3023,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,94601
Metaline Falls,WA,3025,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,3764
Nighthawk,WA,3011,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,506
Oroville,WA,3019,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,21767
Point Roberts,WA,3017,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,107499
Port Angeles,WA,3007,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,8449
Sumas,WA,3009,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicle Passengers,120535
Anacortes,WA,3010,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,1845
Blaine,WA,3004,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,314805
Boundary,WA,3015,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,2280
Danville,WA,3012,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,2714
Ferry,WA,3013,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,547
Friday Harbor,WA,3014,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,195
Frontier,WA,3020,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,3186
Laurier,WA,3016,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,3055
Lynden,WA,3023,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,45720
Metaline Falls,WA,3025,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,1705
Nighthawk,WA,3011,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,255
Oroville,WA,3019,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,12276
Point Roberts,WA,3017,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,71511
Port Angeles,WA,3007,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,3624
Sumas,WA,3009,US-Canada Border,12/01/2019 12:00:00 AM,Personal Vehicles,68766
Blaine,WA,3004,US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Empty,9924
Boundary,WA,3015,US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Empty,526
Laurier,WA,3016,US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Empty,30
Sumas,WA,3009,US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Empty,266
Blaine,WA,3004,US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Full,8181
Boundary,WA,3015,US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Full,684
Laurier,WA,3016,US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Full,183
Sumas,WA,3009,US-Canada Border,12/01/2019 12:00:00 AM,Rail Containers Full,65
Blaine,WA,3004,US-Canada Border,12/01/2019 12:00:00 AM,Train Passengers,5683
Boundary,WA,3015,US-Canada Border,12/01/2019 12:00:00 AM,Train Passengers,52
Laurier,WA,3016,US-Canada Border,12/01/2019 12:00:00 AM,Train Passengers,20
Sumas,WA,3009,US-Canada Border,12/01/2019 12:00:00 AM,Train Passengers,36
Blaine,WA,3004,US-Canada Border,12/01/2019 12:00:00 AM,Trains,228
Boundary,WA,3015,US-Canada Border,12/01/2019 12:00:00 AM,Trains,26
Laurier,WA,3016,US-Canada Border,12/01/2019 12:00:00 AM,Trains,10
Sumas,WA,3009,US-Canada Border,12/01/2019 12:00:00 AM,Trains,12
Blaine,WA,3004,US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,5103
Boundary,WA,3015,US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,20
Danville,WA,3012,US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,41
Ferry,WA,3013,US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,5
Frontier,WA,3020,US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,1544
Laurier,WA,3016,US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,287
Lynden,WA,3023,US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,2921
Metaline Falls,WA,3025,US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,237
Oroville,WA,3019,US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,654
Point Roberts,WA,3017,US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,540
Port Angeles,WA,3007,US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,14
Sumas,WA,3009,US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Empty,2615
Blaine,WA,3004,US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Full,23378
Danville,WA,3012,US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Full,13
Frontier,WA,3020,US-Canada Border,12/01/2019 12:00:00 AM,Truck Containers Full,472
