"arrivalCity","arrivalCoordinates","arrivalCountry","arrivalGlobalRegion","arrivalID","arrivalName","arrivalStateID","arrivalStateName","arrivalTimeUTC","arrivalWAC","day1","day2","day3","day4","day5","day6","day7","departureCity","departureCoordinates","departureCountry","departureGlobalRegion","departureID","departureName","departureNotes","departureStateID","departureStateName","departureTimeUTC","departureWAC","discontinuedDate","effectiveDate","flightId","flightsOverInterval","scheduleFileName","seatsOverInterval","totalSeats"
"Hong Kong","[113.9205,22.3036]","Hong Kong","Asia","HKG","Hong Kong Intl",,,"11:20",729,false,false,true,false,true,false,true,"Adelaide","[138.5347,-34.9483]","Australia","Australasia","ADL","Adelaide International",,"SA","South Australia","02:30",802,"2020-03-27T00:00:00.000Z","2019-10-27T00:00:00.000Z","CX-174",0,"EcoHealth_20190514.csv",0,264
"Hong Kong","[113.9205,22.3036]","Hong Kong","Asia","HKG","Hong Kong Intl",,,"21:05",729,false,true,false,true,false,true,false,"Adelaide","[138.5347,-34.9483]","Australia","Australasia","ADL","Adelaide International",,"SA","South Australia","11:45",802,"2020-03-28T00:00:00.000Z","2019-10-29T00:00:00.000Z","CX-176",0,"EcoHealth_20190514.csv",0,264
"Hong Kong","[113.9205,22.3036]","Hong Kong","Asia","HKG","Hong Kong Intl",,,"09:40",729,true,true,false,false,true,true,false,"Brisbane","[153.1163,-27.385]","Australia","Australasia","BNE","Brisbane Intl",,"QL","Queensland","00:35",802,"2020-03-27T00:00:00.000Z","2019-10-28T00:00:00.000Z","CX-150",0,"EcoHealth_20190514.csv",0,264
"Hong Kong","[113.9205,22.3036]","Hong Kong","Asia","HKG","Hong Kong Intl",,,"23:10",729,true,true,false,true,true,false,true,"Brisbane","[153.1163,-27.385]","Australia","Australasia","BNE","Brisbane Intl",,"QL","Queensland","14:40",802,"2020-03-29T00:00:00.000Z","2019-10-28T00:00:00.000Z","CX-156",0,"EcoHealth_20190514.csv",0,289
"Hong Kong","[113.9205,22.3036]","Hong Kong","Asia","HKG","Hong Kong Intl",,,"23:10",729,false,false,true,false,false,true,false,"Brisbane","[153.1163,-27.385]","Australia","Australasia","BNE","Brisbane Intl",,"QL","Queensland","14:40",802,"2020-03-28T00:00:00.000Z","2019-10-30T00:00:00.000Z","CX-156",0,"EcoHealth_20190514.csv",0,289
"Los Angeles","[-118.4072,33.9422]","United States","North America","LAX","Los Angeles Intl","CA","California","01:20",91,false,false,false,false,false,false,true,"Brisbane","[153.1163,-27.385]","Australia","Australasia","BNE","Brisbane Intl",,"QL","Queensland","12:15",802,"2020-03-01T00:00:00.000Z","2019-11-03T00:00:00.000Z","VA-9",0,"EcoHealth_20190514.csv",0,349
"Los Angeles","[-118.4072,33.9422]","United States","North America","LAX","Los Angeles Intl","CA","California","14:00",91,true,true,true,true,true,true,true,"Brisbane","[153.1163,-27.385]","Australia","Australasia","BNE","Brisbane Intl",,"QL","Queensland","01:20",802,"2020-03-07T00:00:00.000Z","2019-11-03T00:00:00.000Z","QF-15",0,"EcoHealth_20190514.csv",0,236
"Taipei","[121.2285,25.0826]","Taiwan","Asia","TPE","Taiwan Taoyuan International Airport",,,"21:50",781,true,true,false,true,false,true,false,"Brisbane","[153.1163,-27.385]","Australia","Australasia","BNE","Brisbane Intl",,"QL","Queensland","13:05",802,"2020-02-29T00:00:00.000Z","2019-12-02T00:00:00.000Z","CI-54",0,"EcoHealth_20190514.csv",0,358
"Taipei","[121.2285,25.0826]","Taiwan","Asia","TPE","Taiwan Taoyuan International Airport",,,"21:50",781,false,false,true,false,true,false,true,"Brisbane","[153.1163,-27.385]","Australia","Australasia","BNE","Brisbane Intl",,"QL","Queensland","13:05",802,"2020-03-01T00:00:00.000Z","2019-12-04T00:00:00.000Z","CI-54",0,"EcoHealth_20190514.csv",0,358
"Hong Kong","[113.9205,22.3036]","Hong Kong","Asia","HKG","Hong Kong Intl",,,"08:30",729,true,true,true,true,true,true,true,"Brisbane","[153.1163,-27.385]","Australia","Australasia","BNE","Brisbane Intl",,"QL","Queensland","23:30",802,"2020-03-28T00:00:00.000Z","2019-12-04T00:00:00.000Z","QF-97",0,"EcoHealth_20190514.csv",0,297
