"_id","arrivalCity","arrivalCoordinates","arrivalCountry","arrivalGlobalRegion","arrivalID","arrivalName","arrivalStateID","arrivalStateName","arrivalTimeUTC","arrivalWAC","day1","day2","day3","day4","day5","day6","day7","departureCity","departureCoordinates","departureCountry","departureGlobalRegion","departureID","departureName","departureStateID","departureStateName","departureTimeUTC","departureWAC","discontinuedDate","effectiveDate","flightId","flightsOverInterval","scheduleFileName","seatsOverInterval","totalSeats"
"5d2d8a1e0c8ec0b8bdad9842","Vancouver","[-123.1853,49.1872]","Canada","North America","YVR","Vancouver Intl","BC","British Columbia","15:15",906,true,true,true,true,true,true,true,"Brisbane","[153.1163,-27.385]","Australia","Australasia","BNE","Brisbane Intl","QL","Queensland","01:50",802,"2020-03-07T00:00:00.000Z","2019-11-30T00:00:00.000Z","AC-36",0,"EcoHealth_20190514.csv",0,255
"5d2d8a2a0c8ec0b8bdada44a","Vancouver","[-123.1853,49.1872]","Canada","North America","YVR","Vancouver Intl","BC","British Columbia","15:30",906,true,false,true,false,true,false,true,"Melbourne","[144.8333,-37.6617]","Australia","Australasia","MEL","Melbourne Airport","VI","Victoria","00:40",802,"2020-03-06T00:00:00.000Z","2019-11-24T00:00:00.000Z","AC-38",0,"EcoHealth_20190514.csv",0,293
"5d2d8a320c8ec0b8bdadac1c","Vancouver","[-123.1853,49.1872]","Canada","North America","YVR","Vancouver Intl","BC","British Columbia","15:30",906,false,true,false,false,false,false,false,"Sydney","[151.1758,-33.9442]","Australia","Australasia","SYD","Kingsford Smith","NS","New South Wales","01:15",802,"2020-03-03T00:00:00.000Z","2020-01-28T00:00:00.000Z","AC-34",0,"EcoHealth_20190514.csv",0,300
"5d2d8a320c8ec0b8bdadac03","Vancouver","[-123.1853,49.1872]","Canada","North America","YVR","Vancouver Intl","BC","British Columbia","15:30",906,false,false,false,true,false,true,false,"Sydney","[151.1758,-33.9442]","Australia","Australasia","SYD","Kingsford Smith","NS","New South Wales","01:15",802,"2020-03-07T00:00:00.000Z","2020-01-30T00:00:00.000Z","AC-34",0,"EcoHealth_20190514.csv",0,300
"5d2d8a320c8ec0b8bdadabfc","Vancouver","[-123.1853,49.1872]","Canada","North America","YVR","Vancouver Intl","BC","British Columbia","15:30",906,true,false,true,false,true,false,true,"Sydney","[151.1758,-33.9442]","Australia","Australasia","SYD","Kingsford Smith","NS","New South Wales","01:15",802,"2020-03-06T00:00:00.000Z","2020-02-17T00:00:00.000Z","AC-34",0,"EcoHealth_20190514.csv",0,300
"5d2d87ad0c8ec0b8bdab3933","Vancouver","[-123.1853,49.1872]","Canada","North America","YVR","Vancouver Intl","BC","British Columbia","20:30",906,false,false,false,false,false,false,true,"Bella Coola","[-126.5933,52.3864]","Canada","North America","QBC","Bella Coola Valley","BC","British Columbia","19:15",906,"2020-03-01T00:00:00.000Z","2019-11-03T00:00:00.000Z","8P-344",0,"EcoHealth_20190514.csv",0,17
"5d2d87ad0c8ec0b8bdab393b","Vancouver","[-123.1853,49.1872]","Canada","North America","YVR","Vancouver Intl","BC","British Columbia","21:15",906,false,true,false,true,false,false,false,"Bella Coola","[-126.5933,52.3864]","Canada","North America","QBC","Bella Coola Valley","BC","British Columbia","20:00",906,"2020-03-05T00:00:00.000Z","2019-11-05T00:00:00.000Z","8P-346",0,"EcoHealth_20190514.csv",0,17
"5d2d87ad0c8ec0b8bdab3938","Vancouver","[-123.1853,49.1872]","Canada","North America","YVR","Vancouver Intl","BC","British Columbia","00:30",906,false,false,false,false,true,false,true,"Bella Coola","[-126.5933,52.3864]","Canada","North America","QBC","Bella Coola Valley","BC","British Columbia","23:15",906,"2020-03-06T00:00:00.000Z","2019-11-03T00:00:00.000Z","8P-348",0,"EcoHealth_20190514.csv",0,17
"5d2d87ad0c8ec0b8bdab393c","Vancouver","[-123.1853,49.1872]","Canada","North America","YVR","Vancouver Intl","BC","British Columbia","21:45",906,false,false,false,false,false,true,false,"Bella Coola","[-126.5933,52.3864]","Canada","North America","QBC","Bella Coola Valley","BC","British Columbia","20:30",906,"2020-03-07T00:00:00.000Z","2019-11-09T00:00:00.000Z","8P-346",0,"EcoHealth_20190514.csv",0,17
"5d2d87ad0c8ec0b8bdab3944","Vancouver","[-123.1853,49.1872]","Canada","North America","YVR","Vancouver Intl","BC","British Columbia","22:05",906,true,false,true,false,false,false,false,"Anahim Lake","[-125.3,52.4667]","Canada","North America","YAA","Anahim Lake","BC","British Columbia","20:50",906,"2020-03-04T00:00:00.000Z","2019-11-04T00:00:00.000Z","8P-341",0,"EcoHealth_20190514.csv",0,17
"5d2d87ad0c8ec0b8bdab3945","Vancouver","[-123.1853,49.1872]","Canada","North America","YVR","Vancouver Intl","BC","British Columbia","21:20",906,false,false,false,false,true,false,false,"Anahim Lake","[-125.3,52.4667]","Canada","North America","YAA","Anahim Lake","BC","British Columbia","20:05",906,"2020-03-06T00:00:00.000Z","2019-11-08T00:00:00.000Z","8P-341",0,"EcoHealth_20190514.csv",0,17
"5d2d87ad0c8ec0b8bdab394e","Vancouver","[-123.1853,49.1872]","Canada","North America","YVR","Vancouver Intl","BC","British Columbia","23:15",906,true,true,true,true,true,true,true,"Tofino","[-125.7764,49.0769]","Canada","North America","YAZ","Long Beach","BC","British Columbia","22:30",906,"2020-03-07T00:00:00.000Z","2019-11-03T00:00:00.000Z","8P-1614",0,"EcoHealth_20190514.csv",0,17
"5d2d884d0c8ec0b8bdabac82","Vancouver","[-123.1853,49.1872]","Canada","North America","YVR","Vancouver Intl","BC","British Columbia","17:10",906,false,false,true,false,false,false,true,"Campbell River","[-125.2694,49.9511]","Canada","North America","YBL","Campbell River","BC","British Columbia","16:30",906,"2020-03-04T00:00:00.000Z","2019-11-03T00:00:00.000Z","9M-585",0,"EcoHealth_20190514.csv",0,18
"5d2d87ad0c8ec0b8bdab3986","Vancouver","[-123.1853,49.1872]","Canada","North America","YVR","Vancouver Intl","BC","British Columbia","19:55",906,false,false,false,false,false,false,true,"Campbell River","[-125.2694,49.9511]","Canada","North America","YBL","Campbell River","BC","British Columbia","19:10",906,"2020-03-01T00:00:00.000Z","2019-11-03T00:00:00.000Z","8P-764",0,"EcoHealth_20190514.csv",0,17
