,days,dates,Japan,Germany,France,India,UK,South Korea,Taiwan,Mainland China,Iran
1,49,2020-03-10,467.03377845281,1396.62129848182,1717.17930228403,52.3709474874103,334.710663338591,7392.0488415096,26.3858529869576,17821.5035306711,5271.43994840472
2,50,2020-03-11,499.169420627373,1848.84203894747,2125.76177692391,59.3602450900348,430.602844211174,7384.31357429791,28.329155755468,16168.3845774647,5883.55326365249
3,51,2020-03-12,533.516250826478,2447.49015978431,2631.56161166172,67.282317128138,553.96744039548,7376.5864015077,30.41558164575,14668.6085938202,6566.74444649829
4,52,2020-03-13,570.226416390244,3239.97829779509,3257.71052577332,76.2616493793975,712.675099906728,7368.86731466871,32.6556715927097,13307.9515178402,7329.26697409483
5,53,2020-03-14,609.462533607087,4289.07112382763,4032.84415713636,86.4393411866299,916.851354412576,7361.15630531954,35.0607428649951,12073.5087086445,8180.33270751116
6,54,2020-03-15,651.398408060714,5677.8562738433,4992.41165446648,97.9753226632566,1179.52262706834,7353.45336500767,37.6429462415262,10953.5725571513,9130.22317812912
7,55,2020-03-16,696.219804542711,7516.32484882929,6180.29687151386,111.050867801547,1517.44731691822,7345.7584852894,40.4153273990429,9937.5214496572,10190.4137964834
8,56,2020-03-17,744.125269941268,9950.08265591187,7650.8253052153,125.871442974095,1952.18498295828,7338.07165772989,43.3918928208102,9015.71903113226,11373.7124840839
9,57,2020-03-18,795.32701275118,13171.8821166835,9471.24856100717,142.669935589284,2511.47184168977,7330.3928739031,46.5876805594619,8179.42281283069,12694.4144029997
10,58,2020-03-19,850.051843101151,17436.8881642125,11724.8199672305,161.710313635156,3230.99033475938,7322.72212539184,50.0188362114861,7420.70125744069,14168.4746524579
11,59,2020-03-20,908.54217746245,23082.8871802726,14514.6019955523,183.291773616982,4156.64566491208,7315.05940378769,53.7026944871877,6732.35855539844,15813.701018765
12,60,2020-03-21,971.057112489535,30557.0395106824,17968.1796119769,207.753442068368,5347.49454300646,7307.40470069104,57.6578667882311,6107.86637893553,17649.9691071196
13,61,2020-03-22,1037.87357274944,40451.2943448169,22243.4951138994,235.47970451444,6879.51299983821,7299.75800771111,61.9043352352188,5541.30196660673,19699.4624542741
14,62,2020-03-23,1109.28753742412,53549.2718003319,27536.0712975215,266.906245625333,8850.4436487624,7292.11931646583,66.4635536203459,5027.29195108407,21986.9405227919
